LeaseID,TenantID,StartYear,LeaseYear,FloorLevel,SuiteID,SuiteSquareFootage,RentAmount,AnnualRent,Occupied,VacantSpace
1.0,1.0,1990,1990,30,30_1,3408.158778611462,12.0,40897.91,True,16591.84
1.0,1.0,1990,1991,30,30_1,3408.158778611462,12.5,42601.98,True,16591.84
1.0,1.0,1990,1992,30,30_1,3408.158778611462,13.0,44306.06,True,16591.84
1.0,1.0,1990,1993,30,30_1,3408.158778611462,13.5,46010.14,True,16591.84
1.0,1.0,1990,1994,30,30_1,3408.158778611462,14.0,47714.22,True,16591.84
1.0,1.0,1990,1995,30,30_1,3408.158778611462,14.5,49418.3,True,16591.84
1.0,1.0,1990,1996,30,30_1,3408.158778611462,15.0,51122.38,True,16591.84
1.0,1.0,1990,1997,30,30_1,3408.158778611462,15.5,52826.46,True,16591.84
1.0,1.0,1990,1998,30,30_1,3408.158778611462,16.0,54530.54,True,16591.84
1.0,1.0,1990,1999,30,30_1,3408.158778611462,16.5,56234.62,True,16591.84
1.0,1.0,1990,2000,30,30_1,3408.158778611462,17.0,57938.7,True,16591.84
1.0,1.0,1990,2001,30,30_1,3408.158778611462,17.5,59642.78,True,16591.84
2.0,1.0,1990,1990,14,14_2,2414.4916716524804,12.0,28973.9,True,17585.51
3.0,1.0,1990,1990,14,14_3,1366.054236167808,12.0,16392.65,True,16219.45
3.0,1.0,1990,1991,14,14_3,1366.054236167808,12.5,17075.68,True,16219.45
4.0,1.0,1990,1990,26,26_4,1917.219891340969,12.0,23006.64,True,18082.78
4.0,1.0,1990,1991,26,26_4,1917.219891340969,12.5,23965.25,True,18082.78
4.0,1.0,1990,1992,26,26_4,1917.219891340969,13.0,24923.86,True,18082.78
4.0,1.0,1990,1993,26,26_4,1917.219891340969,13.5,25882.47,True,18082.78
4.0,1.0,1990,1994,26,26_4,1917.219891340969,14.0,26841.08,True,18082.78
4.0,1.0,1990,1995,26,26_4,1917.219891340969,14.5,27799.69,True,18082.78
4.0,1.0,1990,1996,26,26_4,1917.219891340969,15.0,28758.3,True,18082.78
4.0,1.0,1990,1997,26,26_4,1917.219891340969,15.5,29716.91,True,18082.78
5.0,1.0,1990,1990,10,10_5,1095.5437582024842,12.0,13146.53,True,18904.46
5.0,1.0,1990,1991,10,10_5,1095.5437582024842,12.5,13694.3,True,18904.46
5.0,1.0,1990,1992,10,10_5,1095.5437582024842,13.0,14242.07,True,18904.46
5.0,1.0,1990,1993,10,10_5,1095.5437582024842,13.5,14789.84,True,18904.46
5.0,1.0,1990,1994,10,10_5,1095.5437582024842,14.0,15337.61,True,18904.46
5.0,1.0,1990,1995,10,10_5,1095.5437582024842,14.5,15885.38,True,18904.46
6.0,1.0,1990,1990,27,27_6,2829.6636680387737,12.0,33955.96,True,17170.34
7.0,1.0,1990,1990,22,22_7,4308.285628982136,12.0,51699.43,True,15691.71
7.0,1.0,1990,1991,22,22_7,4308.285628982136,12.5,53853.57,True,15691.71
7.0,1.0,1990,1992,22,22_7,4308.285628982136,13.0,56007.71,True,15691.71
7.0,1.0,1990,1993,22,22_7,4308.285628982136,13.5,58161.86,True,15691.71
7.0,1.0,1990,1994,22,22_7,4308.285628982136,14.0,60316.0,True,15691.71
7.0,1.0,1990,1995,22,22_7,4308.285628982136,14.5,62470.14,True,15691.71
7.0,1.0,1990,1996,22,22_7,4308.285628982136,15.0,64624.28,True,15691.71
7.0,1.0,1990,1997,22,22_7,4308.285628982136,15.5,66778.43,True,15691.71
7.0,1.0,1990,1998,22,22_7,4308.285628982136,16.0,68932.57,True,15691.71
7.0,1.0,1990,1999,22,22_7,4308.285628982136,16.5,71086.71,True,15691.71
7.0,1.0,1990,2000,22,22_7,4308.285628982136,17.0,73240.86,True,15691.71
8.0,1.0,1990,1990,7,7_8,1813.6277950272904,12.0,21763.53,True,18186.37
