IndustryGrowth,LeaseLength,RSFOccupied,OccupancyRate,IncentivesAvailable,EconomicIndicator,VacancyRate
-0.040000000000000036,8.0,2300.2473809503917,0.7570956793246753,2.0,0.05017081419622036,0.026416981013438444
0.019607843137254832,5.0,1988.8638192392864,0.6447955960438303,1.0,0.04764906959581767,0.004133877244143231
0.0,15.0,1101.0261748118999,0.8790090330879154,0.0,0.05897505497714386,0.01992829504719143
0.01927710843373487,15.0,4574.915612956851,0.7774811382186448,1.0,0.04937826101358522,0.027870100264558547
0.013254317211495614,15.0,1202.0953501542758,0.914326471696506,1.0,0.044771329681817726,0.02172294107692343
0.0,15.0,4235.637895187067,0.8644213870654088,1.0,0.053348901687447756,0.012974482594375324
0.04314764625662448,15.0,738.4757774494853,0.7767840893109041,1.0,0.05861618112085509,0.01769345490356331
0.034482758620689724,6.0,1094.1094361946418,1.0,1.0,0.04460167107962162,0.023797383138699307
0.01526717557251911,5.0,1368.5496194438156,0.7530478959802162,0.0,0.04244902573834202,4.34466821037871e-06
0.0,8.0,2032.29265433898,0.7153424519966285,1.0,0.054757541224681267,0.026152667074563856
-0.6808510638297872,15.0,1366.3974979787245,0.5066534764678392,2.0,0.04690731621211539,0.002037469338656228
-0.015873015873015817,15.0,2464.2830199807713,0.8458007811047623,1.0,0.05590778091832864,0.010938742760368709
0.009569377990430672,7.0,3918.70504553166,0.6147944235597739,2.0,0.04709806800509679,0.013597225840103751
-0.004566210045662045,8.0,3800.402590198497,0.8117574472816604,1.0,0.05017081419622036,0.026416981013438444
0.019230769230769162,15.0,539.6931761984035,0.7371001660310389,0.0,0.04125160091760112,0.021551446497843053
-0.026819923371647625,7.0,1778.2927620703924,0.7669494736099842,0.0,0.05590778091832864,0.010938742760368709
-0.10480349344978157,5.0,3755.1545565500987,0.9594421821442527,1.0,0.04764906959581767,0.004133877244143231
-0.0036101083032491488,7.0,1710.5243227935994,0.5101609553413878,1.0,0.04085708705764603,0.008495821778971362
-0.008849557522124019,5.0,1083.541757226133,0.6855994352154633,0.0,0.05897505497714386,0.01992829504719143
-0.06134969325153372,8.0,3448.836240221597,1.0,1.0,0.04960193947766653,0.023252885430956462
0.034482758620689724,5.0,2391.7228270909427,0.8071072375404629,2.0,0.05642911772553497,0.015077504563044757
0.036363636363636376,15.0,2303.9674347668215,0.5372775738572788,0.0,0.04064577517613719,0.017290141165219753
0.008771929824561209,15.0,2976.5277833591945,0.6671192847524692,2.0,0.0577310850337306,0.02768036991999017
0.0,5.0,4655.459735936137,0.5964830028783266,2.0,0.053348901687447756,0.012974482594375324
0.0,15.0,4524.304128887756,0.8820156076850112,0.0,0.04342289983197835,0.011030450288558943
0.07608695652173925,6.0,2731.2119358424493,0.9858525438125079,0.0,0.05183379193309297,0.02565747516109258
0.03703703703703698,7.0,3268.065481501512,0.8492117673733648,2.0,0.053348901687447756,0.012974482594375324
