IndustryGrowth,LeaseLength,RSFOccupied,OccupancyRate,IncentivesAvailable,EconomicIndicator,VacancyRate
0.040935672514619936,15.0,1457.2563980851864,0.647885527994446,2.0,0.046292480245669954,0.018669785529647116
0.009933774834437026,7.0,4367.679473124764,0.765337500377426,0.0,0.04257052969841276,0.011275696381426187
-0.010000000000000009,15.0,4682.995018729595,0.8248526936786653,2.0,0.05471144939134381,0.017277367465881252
0.04337349397590362,15.0,546.191211517085,1.0,1.0,0.040778992878284404,0.026539250921289836
0.024691358024691468,6.0,2124.524654996993,0.8091786030598581,0.0,0.05174227636896403,0.026323256384178758
0.0869565217391306,7.0,1265.0395021572658,0.7447316570590192,2.0,0.05381126297530486,0.005326367019527955
-0.0404411764705882,15.0,3787.455541865514,0.5534490799623806,0.0,0.04717410281257239,0.02499007415376221
-0.015267175572518998,6.0,4325.001063226362,0.8584116810771383,1.0,0.04272149524989942,0.02419948170466035
-0.011494252873563204,6.0,563.9131616676586,0.857552332254049,1.0,0.053433313392012856,0.026173117559451394
0.040000000000000036,6.0,1414.645695904674,0.6045125590463024,0.0,0.040778992878284404,0.026539250921289836
-0.009508716323296418,6.0,3850.020729088412,0.6326001721837194,1.0,0.040778992878284404,0.026539250921289836
-0.049413218035824547,5.0,1394.670381525022,0.9603923177027565,2.0,0.05889803293617554,0.0017791437373028372
-0.013698630136986245,15.0,3418.266869773422,0.6429487934788808,1.0,0.05936658135245211,0.0033501867930917115
0.004868913857677848,8.0,3600.9858236744976,1.0,0.0,0.04882838511797704,0.02473639942664859
0.03703703703703698,15.0,4909.485382139051,0.6118708806939246,1.0,0.04257052969841276,0.011275696381426187
0.026960784313725616,8.0,1735.52312056187,0.8011075949742859,1.0,0.04882838511797704,0.02473639942664859
0.0,6.0,4212.088513549728,0.7608390568058756,2.0,0.04882838511797704,0.02473639942664859
0.011055276381909396,15.0,4620.9941731544195,0.9563168262602941,2.0,0.05936658135245211,0.0033501867930917115
-0.07894736842105254,15.0,2610.0182623992055,0.9493865563355954,1.0,0.05847425581187722,0.010883497958927086
0.0,5.0,2320.254752114468,0.5631196748798681,1.0,0.0559287508412395,0.00828201984520043
-0.010928961748633892,15.0,4118.643580716062,0.8854473208100244,0.0,0.04384331270445621,0.023543732470102188
0.01775147928994092,6.0,2127.8846074252297,0.5539115234237317,1.0,0.04272149524989942,0.02419948170466035
-0.018018018018017945,5.0,4250.402339672928,0.5767415997366312,2.0,0.05852622102601991,0.006094768231015044
0.22222222222222232,15.0,635.6860522646765,0.5969537430320209,1.0,0.05852622102601991,0.006094768231015044
0.005405405405405572,8.0,2962.490505691199,0.8121767465869708,0.0,0.05174227636896403,0.026323256384178758
0.4999999999999998,7.0,2724.548151366898,0.9077125278685252,2.0,0.05134579389643021,0.010785567906109792
-0.050000000000000044,15.0,3689.816888089104,0.5943008308444935,0.0,0.05471144939134381,0.017277367465881252
-0.06153846153846154,8.0,2910.165011035856,1.0,1.0,0.0477124874751175,0.0257372284050664
0.017094017094017255,7.0,2679.2813651432207,0.9035436146925173,1.0,0.04379106856801974,0.016366140476697835
0.01927710843373487,5.0,2418.057428313212,0.7055187421116633,0.0,0.04379106856801974,0.016366140476697835
-0.06666666666666665,8.0,2910.395762666716,1.0,1.0,0.04462703153396704,0.029273048710704398
0.038132295719844445,7.0,3865.9150777450177,0.990044249966581,0.0,0.04948001967000021,0.0008018312718254395
-0.03230739820302053,7.0,3859.418346313483,0.9507756819895259,2.0,0.05604295078952741,0.01938415350982463
-0.00879120879120876,7.0,1850.5670308258484,0.7455805731852615,2.0,0.05847425581187722,0.010883497958927086
0.02970297029702973,8.0,2277.69164624967,0.6832390715048946,2.0,0.05174227636896403,0.026323256384178758
0.011494252873563315,15.0,4534.318445884897,0.8088619275402475,1.0,0.04717410281257239,0.02499007415376221
0.0,6.0,2110.0550265856637,0.8245473275614386,0.0,0.05174227636896403,0.026323256384178758
0.025316455696202445,15.0,4760.919666102536,0.6610514884315319,0.0,0.04272149524989942,0.02419948170466035
0.017241379310344973,5.0,4153.684910148347,0.9030144964363567,2.0,0.04810548797166772,0.014174148848736157
0.04651162790697683,15.0,2448.56373467182,0.6178968200640875,0.0,0.05134579389643021,0.010785567906109792
0.009685230024213176,5.0,1100.3930321241696,0.728949074742851,1.0,0.053202590591383866,0.017865458594657223
-0.04761904761904756,5.0,3104.5671268927913,0.685609623446587,0.0,0.04379106856801974,0.016366140476697835
0.002949852507374562,7.0,3564.1141334432864,0.8791677349907963,1.0,0.046275713467589796,0.005131248610026243
-0.006276150627614996,8.0,637.9834806139013,1.0,2.0,0.053433313392012856,0.026173117559451394
